 t,px,py,pz,vx,vy,vz
 0.0000000000000000E+00, 7.8447422290361046E-01, 6.0834664588920739E-01,-1.9969120829822830E-05,-3.9513768078724216E+00, 4.9406457433741968E+00, 8.5109194480842930E-05
 1.0000000000000000E+04, 9.1942447593574672E-02, 8.7350690713975376E-01,-3.8912345286838393E-06,-6.7630159775340308E+00, 4.0468238355105237E+00, 1.5419351934414232E-04
 2.0000000000000000E+04,-5.3882159830241264E-02, 4.7338393802340284E-01, 3.7568554635555176E-07,-1.3877978821730380E+01, 5.3820449933842180E+00, 3.2206035966064598E-04
 3.0000000000000000E+04, 5.5285161275541561E-01,-1.1507567839490689E-01,-1.3021807808685633E-05,-3.2051614071177479E+00, 1.2025744391053829E+01, 5.3535964150520809E-05
 4.0000000000000000E+04, 8.9295150764616882E-01, 2.1409519371633395E-01,-2.1805678887727571E-05,-3.8363436921545158E+00, 6.1126200753536999E+00, 8.0087805802931455E-05
 5.0000000000000000E+04, 4.8065111367347130E-01, 8.5979426472517706E-01,-1.3176739595578014E-05,-5.0827763542705267E+00, 3.9726821498729583E+00, 1.1408455564660197E-04
 6.0000000000000000E+04,-1.7137277881223423E-01, 7.5845392212581098E-01, 2.6392356703184696E-06,-8.8925899540976374E+00, 2.7134045084326299E+00, 2.0778791458878006E-04
 7.0000000000000000E+04, 1.3487924184581881E-01, 3.1551881477425281E-01,-3.8411557960903377E-06,-1.5403856991643835E+01, 1.0523556757215404E+01, 3.4867532026196615E-04
 8.0000000000000000E+04, 7.1435605540552871E-01,-3.4922629950159906E-02,-1.7045802861666699E-05,-4.2295563181710802E+00, 8.9973665644854020E+00, 8.3931018740388466E-05
 9.0000000000000000E+04, 7.8977629574754160E-01, 5.6379083790050422E-01,-2.0010004920608568E-05,-4.7349990413641212E+00, 4.5709994087446466E+00, 1.0459645705150688E-04
 1.0000000000000000E+05, 1.1014927210941869E-01, 9.4142379915696928E-01,-4.4586970774641559E-06,-6.3357367647156515E+00, 2.8597799727806654E+00, 1.4625225359721824E-04
 1.1000000000000000E+05,-2.8489095758607325E-01, 5.7640273951351284E-01, 5.7106445116921676E-06,-1.1401572804306582E+01, 1.0259425000716806E+00, 2.7115595922191953E-04
 1.2000000000000000E+05, 3.7278489408561299E-01, 1.3868525426550041E-01,-9.1986414260683357E-06,-9.5687875270268350E+00, 1.3285319242459369E+01, 2.0354980802303655E-04
 1.3000000000000000E+05, 8.0838520363809574E-01, 1.9958774823296432E-01,-1.9751739446304898E-05,-5.1914608615692597E+00, 6.4863434546961400E+00, 1.1182890305044298E-04
 1.4000000000000000E+05, 5.2051154150688284E-01, 8.4513175419609221E-01,-1.4103302099058001E-05,-5.4486932303308713E+00, 3.2175124978354122E+00, 1.2431043270772784E-04
 1.5000000000000000E+05,-2.2226279605181892E-01, 8.5159411965144438E-01, 3.6783155738374793E-06,-7.7346131847528552E+00, 1.3818554138491121E+00, 1.8262120595293889E-04
 1.6000000000000000E+05,-2.2366404489974320E-01, 4.2473053298887969E-01, 4.5370832360637959E-06,-1.4797476194728148E+01, 2.3803080136339805E-02, 3.5444647767625376E-04
 1.7000000000000000E+05, 5.5386899656481225E-01, 9.0358905848224758E-02,-1.3443320069239892E-05,-7.3271292851703782E+00, 1.0142370682449297E+01, 1.5592386103299583E-04
 1.8000000000000000E+05, 7.5920245622518046E-01, 5.1396252424723221E-01,-1.9181242946914703E-05,-5.7688034532702961E+00, 4.3659859711787794E+00, 1.2975889108895444E-04
 1.9000000000000000E+05, 1.4779138436599368E-01, 9.7434811308752534E-01,-5.4241103083104139E-06,-6.1554073271966896E+00, 1.9088158931805204E+00, 1.4377060413946243E-04
 2.0000000000000000E+05,-4.2989593210335503E-01, 6.5092518300497670E-01, 9.0403599906912651E-06,-9.2401610461196491E+00,-6.1634111459280261E-01, 2.2255138232917540E-04
 2.1000000000000000E+05, 6.0817862967558617E-03, 3.4444028218705935E-01,-8.1155785080368347E-07,-1.8158756254153715E+01, 4.1121026496627699E+00, 4.2706687702416773E-04
 2.2000000000000000E+05, 6.7755869621368647E-01, 2.1984740186173729E-01,-1.6656788225064199E-05,-7.1800898841487149E+00, 6.9382800014208614E+00, 1.5859538888550887E-04
 2.3000000000000000E+05, 5.4063368216563590E-01, 8.0484752849340913E-01,-1.4507477579504735E-05,-6.0573344448501203E+00, 2.5976653823523992E+00, 1.4008948097427029E-04
 2.4000000000000000E+05,-2.2836736451202200E-01, 9.2106351124010732E-01, 3.6902623366082389E-06,-6.9234364070881140E+00, 4.2610549575150036E-01, 1.6503605237963706E-04
 2.5000000000000000E+05,-4.7388448760640317E-01, 4.3929705437541111E-01, 1.0503274862071960E-05,-1.0965200170373711E+01,-3.0864819606082201E+00, 2.6865210057529823E-04
 2.6000000000000000E+05, 2.9285619424752724E-01, 2.6463257816399088E-01,-7.5273243728853068E-06,-1.3814767954164591E+01, 8.9592723288122773E+00, 3.1363068158657534E-04
 2.7000000000000000E+05, 6.8414258771969172E-01, 4.7084462626872453E-01,-1.7299733536393158E-05,-7.1785025744795927E+00, 4.2383806359802074E+00, 1.6377672143436814E-04
 2.8000000000000000E+05, 1.9021261918093085E-01, 9.7399556364046558E-01,-6.4396837789444025E-06,-6.2373852672645986E+00, 1.0747471946861948E+00, 1.4734688545300779E-04
 2.9000000000000000E+05,-5.0914299009365227E-01, 7.2007802245709618E-01, 1.0805140710429732E-05,-7.6984955348254225E+00,-1.4457600941207558E+00, 1.8722221671621658E-04
 3.0000000000000000E+05,-3.6518107389842708E-01, 3.1704993984299973E-01, 8.1354695613375065E-06,-1.3733093165434767E+01,-5.2728354056678794E+00, 3.3918711018228530E-04
 3.1000000000000000E+05, 4.8150292277559348E-01, 2.8134266700560062E-01,-1.2078901756318990E-05,-1.0522559014220082E+01, 6.8933563725286708E+00, 2.3875536243201249E-04
 3.2000000000000000E+05, 5.2878502049345721E-01, 7.4716607126173862E-01,-1.4112119777611609E-05,-6.9594655744718121E+00, 2.0419252904009495E+00, 1.6277552638748252E-04
 3.3000000000000000E+05,-2.0425454705002755E-01, 9.6455977594970121E-01, 3.0285233341199530E-06,-6.4258423480579587E+00,-3.9904620747778480E-01, 1.5471070616220574E-04
 3.4000000000000000E+05,-6.3430578150001704E-01, 4.5831387189581185E-01, 1.4309609705301269E-05,-8.3871221142023167E+00,-3.8399171483334364E+00, 2.0834745571906386E-04
 3.5000000000000000E+05,-1.2458814792465868E-01, 3.2273766025545980E-01, 2.3607625798242158E-06,-1.8358367824436062E+01,-2.8468147735686227E+00, 4.4530158308976077E-04
 3.6000000000000000E+05, 5.5324013439857112E-01, 4.4410926319473565E-01,-1.4112113679699765E-05,-9.2159414623777671E+00, 3.9525893900780424E+00, 2.1313866173541487E-04
 3.7000000000000000E+05, 2.2288690105888434E-01, 9.4277159728865068E-01,-7.1620768793943414E-06,-6.5945425072493951E+00, 2.8027077700167069E-01, 1.5743890078838473E-04
 3.8000000000000000E+05,-5.3842484945592406E-01, 7.8274041457359422E-01, 1.1385488231739626E-05,-6.6106618483822137E+00,-2.0526241743848330E+00, 1.6233493770875695E-04
 3.9000000000000000E+05,-6.0223185896703813E-01, 2.4292587659313780E-01, 1.3957618957182214E-05,-9.1026289310346549E+00,-6.7554578605249080E+00, 2.3112456734733931E-04
 4.0000000000000000E+05, 1.7283680941358656E-01, 3.5152526851271632E-01,-4.8200844564232880E-06,-1.6215522580903855E+01, 3.3525851960054682E+00, 3.8198250043185877E-04
 4.1000000000000000E+05, 4.7267232125976721E-01, 6.8024588997571722E-01,-1.2638500263928747E-05,-8.2430826678759406E+00, 1.4223235042538271E+00, 1.9472401199569137E-04
 4.2000000000000000E+05,-1.6424418108857541E-01, 9.7852645034785912E-01, 2.0430238515961604E-06,-6.2144886030503503E+00,-1.2090205150930657E+00, 1.5121327279558306E-04
 4.3000000000000000E+05,-7.3169275624923957E-01, 4.9544993084128208E-01, 1.6570849172312622E-05,-6.6654992627014522E+00,-4.0689140130684196E+00, 1.6754646484043575E-04
 4.4000000000000000E+05,-4.5864527776524511E-01, 1.6434204929470056E-01, 1.0669734243054531E-05,-1.0852068765689447E+01,-9.8031421140060271E+00, 2.7892632419357247E-04
 4.5000000000000000E+05, 3.4618602990403580E-01, 4.3270376970641267E-01,-9.1298187041627289E-06,-1.2357119936997679E+01, 2.6940534795592508E+00, 2.9082257605759332E-04
 4.6000000000000000E+05, 2.3147178724663869E-01, 8.8407849914334991E-01,-7.2542752135848516E-06,-7.2495776517354500E+00,-5.5980762674870643E-01, 1.7475511910353174E-04
 4.7000000000000000E+05,-5.3053046620190913E-01, 8.3156830405909798E-01, 1.1101975665797697E-05,-5.8605077684956317E+00,-2.6505613560442471E+00, 1.4551994894152577E-04
 4.8000000000000000E+05,-7.5776290478455288E-01, 2.0508480242032523E-01, 1.7756717491762456E-05,-6.4535689254444364E+00,-6.5404193298696702E+00, 1.6724723675586999E-04
 4.9000000000000000E+05,-2.3794123332830081E-01, 2.5326834932289932E-01, 5.2105767460401323E-06,-1.5988167010605357E+01,-9.3734043453483942E+00, 4.0113738010329257E-04
 5.0000000000000000E+05, 3.5819391612110080E-01, 6.0900670836863713E-01,-9.7583061652513702E-06,-1.0062415454510472E+01, 4.2306007132528911E-01, 2.4024020279385443E-04
 5.1000000000000000E+05,-1.2278249229755671E-01, 9.6011928550772641E-01, 1.0853401364068696E-06,-6.2744009412195396E+00,-2.0804489666141368E+00, 1.5433316702934564E-04
 5.2000000000000000E+05,-7.8025818983963469E-01, 5.4390357365866449E-01, 1.7640627307257877E-05,-5.4417156748916051E+00,-4.2548062919602767E+00, 1.3858852269616465E-04
 5.3000000000000000E+05,-6.5244579335245156E-01, 1.2640710660946512E-02, 1.5605737936622541E-05,-6.0711981486489810E+00,-9.5071067388694779E+00, 1.6382215975148964E-04
 5.4000000000000000E+05, 3.0136291947954696E-02, 3.8760495582794779E-01,-1.4712588980067549E-06,-1.6417262188281171E+01,-2.7805719283126269E+00, 3.9867185311024121E-04
 5.5000000000000000E+05, 2.0158184533025686E-01, 8.0119337166231841E-01,-6.3779925140022890E-06,-8.2400428082475372E+00,-1.5986143085611475E+00, 2.0049116804733548E-04
 5.6000000000000000E+05,-4.9760988765819369E-01, 8.5819012621227109E-01, 1.0261856596121577E-05,-5.3825544211206928E+00,-3.3366720418236850E+00, 1.3539633150398605E-04
 5.7000000000000000E+05,-8.6104318352930320E-01, 2.0624156854332529E-01, 2.0228692614671843E-05,-4.7754361478002849E+00,-6.1491952059669064E+00, 1.2628911503347544E-04
 5.8000000000000000E+05,-4.9062008893000292E-01,-1.3054543939886240E-02, 1.1778669180264720E-05,-6.5611218199180543E+00,-1.2973925557889510E+01, 1.8226085132781413E-04
 5.9000000000000000E+05, 1.6660252600369119E-01, 5.2480040189083188E-01,-5.0057041260306314E-06,-1.2571829061682710E+01,-1.9092440781934585E+00, 3.0486515484161168E-04
 6.0000000000000000E+05,-9.4494227596601338E-02, 9.0748356538138308E-01, 5.0941220797949976E-07,-6.5968273553815022E+00,-3.1018153878516337E+00, 1.6403177740806235E-04
 6.1000000000000000E+05,-7.8933450328970112E-01, 5.9225538382667897E-01, 1.7764589856062101E-05,-4.5344477526647902E+00,-4.5532850125189004E+00, 1.1743076716173974E-04
 6.2000000000000000E+05,-7.8377337578209605E-01,-7.6292027154956837E-02, 1.8923780269246541E-05,-3.6985965455393495E+00,-8.3720494836015593E+00, 1.0478919364815449E-04
 6.3000000000000000E+05,-3.1721787990844152E-01, 1.4589588650982116E-01, 7.3173193330449926E-06,-1.1395356065605659E+01,-1.4554918795672007E+01, 3.0112744903308507E-04
 6.4000000000000000E+05, 1.1827024426011115E-01, 6.9360188612298768E-01,-4.1741640170390601E-06,-9.5980737851412474E+00,-3.1929081147523033E+00, 2.3610657678758604E-04
 6.5000000000000000E+05,-4.5219285857750707E-01, 8.5487359766271986E-01, 9.1802449062465110E-06,-5.1360669624193998E+00,-4.1772619360503418E+00, 1.3111641009801126E-04
 6.6000000000000000E+05,-9.2275500201996541E-01, 2.3491152565873241E-01, 2.1651654420844361E-05,-3.5716909538146697E+00,-5.8960229690845463E+00, 9.6962432880818482E-05
 6.7000000000000000E+05,-6.1719324021615596E-01,-2.2151463965938703E-01, 1.5213879468508729E-05,-2.2778451011618714E+00,-1.0992006478063818E+01, 7.5818089840681455E-05
 6.8000000000000000E+05,-1.1482652256047884E-01, 3.6840225195794296E-01, 2.0386330232900134E-06,-1.4364070515647120E+01,-8.6030658302109426E+00, 3.6074087499272787E-04
 6.9000000000000000E+05,-9.3992308218447104E-02, 8.1858903102584168E-01, 6.6923614013648454E-07,-7.1623745701154737E+00,-4.4320094547120172E+00, 1.8015167359167609E-04
 7.0000000000000000E+05,-7.6734505312135792E-01, 6.2839230437830074E-01, 1.7167945683783357E-05,-3.8493713884594452E+00,-5.0312446597310734E+00, 1.0194286170788186E-04
 7.1000000000000000E+05,-8.8020699605449459E-01,-1.1060307797613060E-01, 2.1300300162653131E-05,-2.2782019840515519E+00,-7.4205183994846555E+00, 6.8922353585224700E-05
 7.2000000000000000E+05,-4.5592914377814270E-01,-1.9118124496453190E-01, 1.1291951968537363E-05,-1.4489188373408040E+00,-1.4380791959762382E+01, 6.2511190664833434E-05
 7.3000000000000000E+05,-3.2878751529809319E-02, 5.4607832600322281E-01,-2.6800845002154044E-07,-1.1119551286617405E+01,-6.3101576469544085E+00, 2.7858168535534097E-04
 7.4000000000000000E+05,-4.0731972616282536E-01, 8.1474292069489207E-01, 8.1828308848038534E-06,-5.0814265105601599E+00,-5.2527772262249650E+00, 1.3188657965171473E-04
 7.5000000000000000E+05,-9.4755027420512994E-01, 2.7710090050113018E-01, 2.2164097778744553E-05,-2.6213763555243461E+00,-5.8606181227494192E+00, 7.4127986123453311E-05
 7.6000000000000000E+05,-7.0838494382797845E-01,-3.4950878845012606E-01, 1.7645927685885011E-05,-4.8564383874790007E-01,-9.1043053692511648E+00, 2.9234370322103198E-05
 7.7000000000000000E+05,-3.5053967000217451E-01, 1.6084609758316173E-02, 8.3665324727585488E-06,-5.2372454683754430E+00,-1.7673825642287714E+01, 1.5963139349522754E-04
 7.8000000000000000E+05,-1.3504324330719586E-01, 6.8753887271062375E-01, 1.9060058127142359E-06,-7.8720045183517762E+00,-6.4224386509846161E+00, 2.0099960148900570E-04
 7.9000000000000000E+05,-7.2330959135524420E-01, 6.4067800244631834E-01, 1.6089269485767172E-05,-3.3253026963353323E+00,-5.7363649237649854E+00, 9.0751240833070567E-05
 8.0000000000000000E+05,-9.4745630844898343E-01,-1.0482802126878939E-01, 2.2900179411859637E-05,-1.2459448595633238E+00,-6.7657220021282551E+00, 4.2927480853157474E-05
 8.1000000000000000E+05,-5.0034293892511639E-01,-4.2872474052743176E-01, 1.2815152753738464E-05, 1.7753945920642975E+00,-1.1029356153060665E+01,-2.1210254709256025E-05
 8.2000000000000000E+05,-2.4152399187287585E-01, 2.9730253377252985E-01, 5.2112808467251895E-06,-1.0310084391926424E+01,-1.3308830397493361E+01, 2.7271947820954574E-04
 8.3000000000000000E+05,-3.7593591891872913E-01, 7.3072298681776149E-01, 7.5934162226146653E-06,-5.1430838998083823E+00,-6.7071176290352508E+00, 1.3617514544823136E-04
 8.4000000000000000E+05,-9.3904836538874259E-01, 3.1850697316618043E-01, 2.1880378777390357E-05,-1.8140219065004253E+00,-6.0719315866472918E+00, 5.5195280726744242E-05
 8.5000000000000000E+05,-7.8630527350290680E-01,-4.1444862487364009E-01, 1.9638148576342921E-05, 4.9919764219294627E-01,-7.7231127479153381E+00, 2.9711542466952326E-06
 8.6000000000000000E+05,-3.5845117258620890E-01,-3.4569452630499559E-01, 9.2554424349689429E-06, 3.7946209349592319E+00,-1.3859171767885220E+01,-6.4112899230616847E-05
 8.7000000000000000E+05,-2.2550149459846991E-01, 4.9452967746665788E-01, 4.4461682363943907E-06,-8.1738609765664467E+00,-9.9218820233332927E+00, 2.1499597086032960E-04
 8.8000000000000000E+05,-6.6702098393503395E-01, 6.1809125834150458E-01, 1.4784467774490578E-05,-2.8962970197771152E+00,-6.7305831398589628E+00, 8.2395851100462933E-05
 8.9000000000000000E+05,-9.8488561693912080E-01,-7.3700439829453110E-02, 2.3736671592653957E-05,-3.7094991234614921E-01,-6.4037438674205438E+00, 2.1266091823661202E-05
 9.0000000000000000E+05,-5.4076963409170820E-01,-5.7910753817303129E-01, 1.4074341195877657E-05, 2.7654019657431652E+00,-8.6509127704760456E+00,-4.9525079446533124E-05
 9.1000000000000000E+05,-3.3266597931025432E-01,-1.1732607620977234E-01, 8.1962505674920318E-06, 1.6138547735473789E+00,-1.8307459098657432E+01,-3.2705670319282211E-06
 9.2000000000000000E+05,-3.6875496759562376E-01, 5.9231486152859225E-01, 7.6889534717673990E-06,-5.0989869087553492E+00,-8.8389597958409176E+00, 1.3923995423929702E-04
 9.3000000000000000E+05,-9.0161297313515165E-01, 3.4506814590533880E-01, 2.0932218808776706E-05,-1.0758248741971301E+00,-6.5531257194391879E+00, 3.8441054441653300E-05
 9.4000000000000000E+05,-8.5094842541943572E-01,-4.3188808506280196E-01, 2.1220471470802578E-05, 1.2320832848329886E+00,-6.7542212849531609E+00,-1.6459089714605095E-05
 9.5000000000000000E+05,-3.1654838376256850E-01,-5.8146176690966922E-01, 8.7073851086023815E-06, 5.5578104028764823E+00,-9.6287391035000898E+00,-1.1453049732412593E-04
 9.6000000000000000E+05,-3.3222665166399101E-01, 1.8499669733064669E-01, 7.6012852523967738E-06,-4.7890947595803945E+00,-1.6234848460078478E+01, 1.4611358494021016E-04
 9.7000000000000000E+05,-6.0807705935221523E-01, 5.4942870718603198E-01, 1.3505126807705097E-05,-2.4388509709463819E+00,-8.1233804925435624E+00, 7.4129656189849590E-05
 9.8000000000000000E+05,-9.9084763559118683E-01,-3.1881105182818871E-02, 2.3798655592656231E-05, 4.5896708478969100E-01,-6.3228527322957531E+00, 1.2279911623267708E-06
 9.9000000000000000E+05,-5.9098905189434681E-01,-6.6618471539512525E-01, 1.5445746461504254E-05, 3.1954625644786145E+00,-7.0235611396078976E+00,-6.2973675671077798E-05
 1.0000000000000000E+06,-2.1068739359439528E-01,-4.5519234134483244E-01, 5.9272495246069824E-06, 8.4714376541431804E+00,-1.1502740986067366E+01,-1.8070740939797267E-04
